Naam;Aanbod;Keuken;Dieet;Take-away opties;Tekstveld;Adres;Postcode;Gemeente;Telefoonnummer;Link;Image name;Image URL;E-mail;Column 15;Column 16;Column 17;Omschrijving voor paasactie;Link;image_path
Café Merino;"Brasserie keuken;Gezond;Wereldkeuken";"Afrikaans;Amerikaans;Aziatisch;Belgisch;Chinees;Frans;Grieks;Indiaas;Indonesisch;Italiaans;Japans;Koreaans;Libanees;Marokkaans;Mediterraans;Mexicaans;Midden-Oosters;Spaans;Syrisch;Thais;Turks";"Veganistisch;Vegetarisch";;"Wekelijks veranderende weekschotel met vlees- en vegetarische optie en soep. 
 Spaghetti bolognaise met vlees, vegetarisch of veganistisch.
 
 Bestellen tot 24u op voorhand via Resengo.
 Afhalen op woensdag, donderdag en vrijdag van 17u-20u";Emanuel Hielstraat 26;9050;Gentbrugge;93354109;https://wwc.resengo.com/Cafe_Merino_Gentbrugge;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c6b49b5d4db6ff2bfb26a6fc5347f6c4;info@cafemerino.be;09 335 41 05;;;;https://wwc.resengo.com/Cafe_Merino_Gentbrugge;https://stad.gent/sites/default/files/webform/horeca/8106/4C38D7EA-75AD-4FF8-B26A-BA81E7DA01CA.jpg
Cafe Parti;"Dranken;Brasserie keuken;Wereldkeuken;Zoet";Mediterraans;"Glutenvrij;Vegetarisch";;"Lekkere klassieke brasserie keuken met wisselende gerechtjes, waaronder onze stokpaardjes, ""Oosterse Bouillabaisse"" en tartaar van verse tonijn met zeewiersalade en wasabi-mayo...!";Koningin Maria Hendrika plein 65 A;9000;Gent;092423291;http://www.cafeparti.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/799ca973054ee1e782397fb20dfb9349;;;;;;http://www.cafeparti.be;https://stad.gent/sites/default/files/webform/horeca/6789/IMG-20201026-WA0002_0.jpg
Carlos Quinto;"Dranken;Gastronomisch;Lunch;Zoet";"Belgisch;Frans";Vegetarisch;;Carlos Quinto restaurant en feestzaal is de ideale locatie voor een gezellig diner met vrienden, receptie met collega's of een bbq met familie. Twee herenhuizen in het hart van de stad. Bij mooi weer kan u genieten van ons gezellige binnentuin.;Kammerstraat 20;9000;Gent;09 225 59 29;https://www.carlosquinto.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/13c8cfc6954f46c38ea8821de6d805a8;info@salonscarlosquinto.be;09 225 59 29;;;;https://www.carlosquinto.be/;https://stad.gent/sites/default/files/webform/horeca/7674/TsalonsA_2018_wazigIMG_0762.jpg
Consouling Store;"Dranken;Kindvriendelijk";Belgisch;;;Het concept van Consouling Store in de Baudelostraat is een kruising tussen een platenlabel, een muziekwinkel en een koffie- & theehuis.;Baudelostraat 11;9000;Gent;;www.consouling.be;consoulingstore.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e25d56a6ddefb00dd6f823172ac21bc1;info@consouling.be;;;;;www.consouling.be;https://stad.gent/sites/default/files/webform/horeca/12538/04_Consouling%20Store_overzicht.JPG
De Raadkamer;Gastronomisch;Belgisch;;;;Nederkouter 3;9000;Gent;092336849;http://www.de-raadkamer.be;DeRaadkamer.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/efdcb0053281bd1bf4c6072555f565e3;;;;;;http://www.de-raadkamer.be;https://stad.gent/sites/default/files/koop_lokaal/DeRaadkamer.jpg
De Walrus;"Dranken;Kindvriendelijk;Lunch;Brasserie keuken";Belgisch;"Veganistisch;Vegetarisch";;"De Walrus staat bekend om zijn heerlijke dagschotel.
Altijd veggie & vers, met veel liefde bereid.";Coupure 497;9000;Gent;09 279 38 48;https://walrus-gent.be/;walrus.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/12222ef45b2888e86aa6a4b434b9b27f;info@walrus-gent.be;;;;;https://walrus-gent.be/;https://stad.gent/sites/default/files/webform/horeca/12553/authentic-cosy-interior.jpg
De Warempel;"Gezond;Lunch";Belgisch;;;Veggie-vis-vlees;Zandberg 8;9000;Gent;0498123438;http://www.Warempel.be;DeWarempel.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/850c29b9cb24f34a9cf836ef2d82f266;;;;;;http://www.Warempel.be;https://stad.gent/sites/default/files/koop_lokaal/DeWarempel.jpg
Den Hoek Af;"Dranken;Ontbijt en brunch";Belgisch;;;Brunchboxen (met of zonder bubbels) en Aperoboxen met verschillende wijnen (zowel natuur als klassiek);Vlaanderenstraat 1;9000;Gent;0498792963;https://www.facebook.com/denhoekaf;DenHoekAf.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c0fd94866d32eb69df378309d7e9d413;;;;;;https://www.facebook.com/denhoekaf;https://stad.gent/sites/default/files/koop_lokaal/DenHoekAf.jpg
Dogs & Drinks hondencafé;"Gezond;Lunch";Belgisch;;;Elk weekend verse gerechten. Keuze uit soep, vegan of vleesmaaltijden.;Godshuizenlaan 33;9000;Gent;0498296328;https://www.dogsanddrinks.be/afhaalmenu;DogsenDrinksHondencafe.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1b43859a3af9544169be5fb6bc1b9f0c;;;;;;https://www.dogsanddrinks.be/afhaalmenu;https://stad.gent/sites/default/files/media/images/Dogs%20%26%20drinks.jpg
Dok Brewing Company;Dranken;Belgisch;Glutenvrij;;"Dok Brewing Company is een stadsbrouwerij op Dok Noord. Hier brouwen we Gents bier en verkopen bier ter plaatse om mee te nemen. We tappen rechtsreeks in flessen die je gesloten kunt meenemen.
 Ook steeds andere speciaalbieren van bevriende brouwers.";Dok Noord 4b - Hal 16;9000;Gent;;https://www.facebook.com/dokbrewingcompany;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e5312b13d3418a30917d7ff12163fb0f;info@dokbrewingcompany.be;900000000;;;;https://www.facebook.com/dokbrewingcompany;https://stad.gent/sites/default/files/webform/horeca/6885/66390897_462869431171514_4686546525302554624_o.jpg
Eat Love;"Dranken;Pasta;Pizza;Kindvriendelijk";Italiaans;Vegetarisch;;Heerlijke ingrediënten van bezielde komaf omgetoverd tot flinterdunne pizza zoals de oeroude Romeinse traditie het voorschrijft. Da’s Amore!;Ajuinlei 10A;9000;Gent;0479 87 93 87;pizza@eatlove.be;eatlove.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d2795f610fa33bb116f1cd221c919d3d;pizza@eatlove.be;;;;;pizza@eatlove.be;https://stad.gent/sites/default/files/webform/horeca/12625/29_Eat%20Love%20Pizza_overzicht.JPG
Eetcafé Toreke;"Brasserie keuken;Lunch;Wereldkeuken;Kindvriendelijk";Belgisch;;;Toreke vzw is een Gentse organisatie die laagdrempelige buurtvoorzieningen in Gentse wijken inricht. Het restaurant is erkend als Gents sociaal restaurant, dat wil zeggen dat bezoekers met een laag inkomen een lagere prijs betalen.;Vlotstraat 22;9000;Gent;09 223 87 83;https://www.torekevzw.be/;toreke.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2a251d301654dcd9c29c36fabcc47c43;eetcafe.toreke@torekevzw.be;;;;;https://www.torekevzw.be/;https://stad.gent/sites/default/files/webform/horeca/12658/42_Eetcaf%C3%A9%20Toreke_overzicht.JPG
Eethuis De Fobie;"Dranken;Lunch;Pasta;Zoet";"Belgisch;Italiaans";Vegetarisch;;Bij ons in de fobie kun je al 17 jaar terecht voor lekker eten aan een eerlijke prijs. Heb je weinig tijd om uit te gaan eten, dan kun je vanaf nu ook onze take-away pastaschotels bestellen.;Brusselsepoortstraat 61;9000;Gent;092341767;https://eethuisdefobie.be/nl/menu/take-away+%28nl%29;EethuisDeFobie.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c8dded35276dde1f8fe0f4d051ea8ecd;annstorme@icloud.com;0474720729;;;;https://eethuisdefobie.be/nl/menu/take-away+%28nl%29;https://stad.gent/sites/default/files/webform/horeca/11302/Stevepeutevinck_01_c_0.png
Eetkaffee De Lieve;Brasserie keuken;Belgisch;;;Gerecht van de week en klassieke gerechten met keuze van verschillende sidedishes.;Sint margrietstraat 1;9000;Gent;0032489754577;https://www.tablefever.com/nl/catering-kiezen/eetkaffee-de-lieve/9Wnx0;EetkaffeeDeLIeve.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b5f8ffa3d2e5af0e0f5ae92d6bb09327;;;;;;https://www.tablefever.com/nl/catering-kiezen/eetkaffee-de-lieve/9Wnx0;https://stad.gent/sites/default/files/koop_lokaal/EetkaffeeDeLIeve.jpg
Epiphany’s;"Dranken;Pasta;Pizza";Aziatisch;"Glutenvrij;Veganistisch";;Glutenvrij en vegan gezonde pasta’s, pizza en fingerfood;Burgstraat 10;9000;Gent;093294842;http://epiphanyskitchen.com/;Epiphany'sKitchen.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5982d0d8ded393229760636bedba0f05;;;;;;http://epiphanyskitchen.com/;https://stad.gent/sites/default/files/koop_lokaal/Epiphany'sKitchen.jpg
EVÍN Wine Store & Bar;Dranken;"Amerikaans;Belgisch;Frans;Grieks;Italiaans;Mediterraans;Spaans";"Halal;Veganistisch;Vegetarisch";;Een wijnbar- en winkel in het historische centrum van Gent. Een gezellige ongedwongen sfeer en persoonlijke aanpak staan centraal. Ons aanbod verandert maandelijks, we bieden steeds 15 à 18 wijnen aan die verdeeld zijn in wijnpakketten.;Sint-Margrietstraat 16;9000;Gent;0468 33 82 60;https://evingent.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/33a1e164aff58cfa7a057c8f9c09fdea;info@evingent.be;0468 33 82 60;;;;https://evingent.be/;https://stad.gent/sites/default/files/webform/horeca/7047/EVIN.jpg
Frituur Louiss;Frietjes;Belgisch;;;Verse frietjes en snacks;Sint-Kwintensberg 34;9000;Gent;0468080521;;;;;;;;;;
Frituur Tartaar;Frietjes;Belgisch;;;;Heilige Geeststraat 3;9000;Gent;0499221907;https://frituurtartaar.be/;FrituurTartaar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/4972ffce1baba4e8a43cbaccdd334b7d;;;;;;https://frituurtartaar.be/;https://stad.gent/sites/default/files/koop_lokaal/FrituurTartaar.jpg
Fry Willy;"Brasserie keuken;Frietjes;Wereldkeuken";"Aziatisch;Belgisch;Frans;Mediterraans";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;Naast onze huisgemaakte klassiekers zoals Fish & Chips met verse tartaar en Bouillabaisse bieden wij ook Specials van de Week aan. Focus op vis en groentjes. Alles dagvers bereid. Opties voor vegans, halalmaaltijden en andere dieetwensen.;Hoogpoort 9;9000;Gent;0468279932;http://www.frywilly.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f7ba4406de6952c0a00a8d3dba01fe46;info@frywilly.be;468279932;;;;http://www.frywilly.be;https://stad.gent/sites/default/files/webform/horeca/7965/foto%20koop%20lokaal_0.jpg
Gaston Rooftop;Brasserie keuken;"Belgisch;Frans";;;Belgische en Franse klassiekers uit grootmoeders keuken.;Hurstweg 8;9000;Gent;0496109209;https://gaston-gent.be/;RooftopGaston.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/afa58fb803db15ddf8923d945db71910;;;;;;https://gaston-gent.be/;https://stad.gent/sites/default/files/koop_lokaal/RooftopGaston.jpg
Giuseppe's Pizza Forno a Legna;Pizza;Italiaans;;;Authentieke Napolitaanse pizza;Klein Turkije 10;9000;Gent;0032475838659;https://giuseppes.be/en;Giuseppe'sPizzaFornoaLegna.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/34e46d7d8767760247aa06ea92c60a9e;;;;;;https://giuseppes.be/en;https://stad.gent/sites/default/files/koop_lokaal/Giuseppe'sPizzaFornoaLegna.jpeg
Hasta La Vista;Wereldkeuken;Spaans;;;Spaanse gerechten;Losweg 13;9030;Mariakerke;092580807;https://www.hasta-la-vista.be/;HastaLaVista.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8329b93ec1473909b726565a6a2404d1;;;;;;https://www.hasta-la-vista.be/;https://stad.gent/sites/default/files/koop_lokaal/HastaLaVista.jpg
Heritage;"Gastronomisch;Zomerpas De Lijn;";Belgisch;;;3 gangen menu - weekend - Vis of veggie;Rodekoningstraat 12;9000;Gent;092781000;https://www.facebook.com/heritage.gent;Heritage.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1e3dd35acb0fadf89659671abf21bc26;;;;;;https://www.facebook.com/heritage.gent;https://stad.gent/sites/default/files/koop_lokaal/Heritage.jpg
Het Moment;"Dranken;Gezond;Zoet";"Frans;Italiaans;Mediterraans";"Glutenvrij;Veganistisch;Vegetarisch";;Kom hier langs voor een lekkere koffie, thee of sapje en neem er gelijk een praline of stukje taart bij!;Burgstraat 20;9000;Gent;;https://www.genietvanhetmoment.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b4e8ccd70ae04b060185934351ca2205;inof@genietvanhetmoment.be;0476 421457;;;;https://www.genietvanhetmoment.be/;https://stad.gent/sites/default/files/webform/horeca/7070/HET%20MOMENT%20005.png
Holy Guacamoly Zuid;"Dranken;Gezond;Lunch;Taco's;Zomerwedstrijd";"Amerikaans;Mexicaans";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;Holy Guacamoly wil tonen dat fast food niet altijd gelijk staat aan ongezond eten. Door te werken met verse producten proberen wij ons steentje bij te dragen aan een gezondere levenswijze.;Vlaanderenstraat, 123;9000;Gent;0493650580;https://www.holyguacamoly.be/nl/;HolyGuacamolyZuid.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d280d9bfb9466f09d5320b04c0ebbc1e;;;;;;https://www.holyguacamoly.be/nl/;https://stad.gent/sites/default/files/webform/horeca/8481/HolyGuacamoly-26feb2019-054.jpg
Hong Thong Thai;"Wereldkeuken;Noedels;Wok";Thais;;;De authentieke Thaise keuken;Grotesteenweg-Noord 61;9052;Zwijnaarde;093919521;https://hongthongthairestaurant.com/;HongTongThai.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8ce1fd711abdafaa1df4cbb81956dda8;;;;;;https://hongthongthairestaurant.com/;https://stad.gent/sites/default/files/koop_lokaal/HongTongThai.jpg
In Bocca 'Lupo;"Gezond;Pasta";Italiaans;Vegetarisch;;"Je kan bij ons terecht voor een leuke box met verse pasta en saus naar keuze. Wij voorzien ook voor- en nagerechten. 
 Er is steeds een vegetarische optie mogelijk.";Corduwaniersstraat 63;9000;Gent;092242542;https://www.inboccalupo.be/menu;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f98ef566066ac272273633df40221e53;;;;;;https://www.inboccalupo.be/menu;https://stad.gent/sites/default/files/webform/horeca/6820/foto%20puur%20gent%20%20.jpg
In Choc Gent;"Ontbijt en brunch;Zoet;Zomerwedstrijd";Belgisch;"Veganistisch;Vegetarisch";;Een uniek, warm en gezellig koffiehuis in hartje Gent. Home van Crazy milkshakes, ontbijten, heerlijke wafels, vers gebakken pannenkoeken, chocomelks, lekkere koffies met huisgemaakt gebak. NU TAKE AWAY en levering aan huis !;Sint-Veerleplein 12-13;9000;Gent;0495.23.25.51;http://www.inchocgent.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f938df2fdaa3ea93ad6b8f7d36fb6a8f;tania@inchocgent.be;0495.23.25.51;;;;http://www.inchocgent.be;https://stad.gent/sites/default/files/webform/horeca/7229/advocaat%20freakshake_0.jpg
Jacqueline Gent;Ontbijt en brunch;Belgisch;;;Brunch, ontbijt;Jakobijnenstraat 12;9000;Gent;092257765;https://jacquelinegent.be/;Jacqueline.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1848e4b774769fbca35e25c06818e83f;;;;;;https://jacquelinegent.be/;https://stad.gent/sites/default/files/koop_lokaal/Jacqueline.jpg
Jilles Beer & Burgers;"Brasserie keuken;Wereldkeuken";Amerikaans;;;;Tentoonstellingslaan 165;9000;Gent;093303623;http://order.jilles.be;JillesBier&Burgers.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9e711b8f999053ced75154df33309a00;;;;;;http://order.jilles.be;https://stad.gent/sites/default/files/koop_lokaal/JillesBier&Burgers.jpg
Komeet;"BBQ en grill;Dranken;Brasserie keuken;Gezond;Lunch;Pasta;Wereldkeuken;Zoet";"Belgisch;Frans;Mediterraans;Midden-Oosters";"Glutenvrij;Veganistisch;Vegetarisch";;"Komeet biedt een assortiment aan van soepen, Vlaamse klassiekers, Pasta's, streetfood & dessert's.
 Seizoensgebonden gerechten altijd met verse producten.";Koningin Elisabethlaan 21;9000;Gent;0470628551;https://www.facebook.com/komeet9000;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e4ca71a73e0cfdba29251e165325887b;thibault.desmedt98@gmail.com;470628551;;;;https://www.facebook.com/komeet9000;https://stad.gent/sites/default/files/webform/horeca/7378/photoshoot_for_bonappethito_composition_550x440.jpg
Komparto;"BBQ en grill;Gezond;Lunch;Wereldkeuken";"Belgisch;Italiaans;Mediterraans";Veganistisch;;We bieden een take-away concept aan met comfortabele gerechten om thuis lekker te genieten!;Nederkouter 50;9000;Gent;093117379;https://www.komparto.be;Komparto.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/fb5ddede65e57b1cb9fc24cfd3aa6238;karel.declercq@outlook.com;474331452;;;;https://www.komparto.be;https://stad.gent/sites/default/files/webform/horeca/7057/Komparto_jd%20%285%20of%2046%29.jpg
Krookcafé;"Dranken;Kindvriendelijk";Belgisch;;;De Krook, een initiatief van Stad Gent, de Universiteit Gent en imec is een bibliotheek die klaar is voor de 21e eeuw. Een cultureel knooppunt waar iedereen welkom is! Ook voor een drankje.;Miriam Makebaplein 1;9000;Gent;09 323 68 00;https://dekrook.be/;dekrook.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/cd7ba65816f3a81fd8fa143973f5cf04;bibliotheek@stad.gent;;;;;https://dekrook.be/;https://stad.gent/sites/default/files/webform/horeca/12568/20_Krookcaf%C3%A9_overzicht.JPG
L’apero d’oc;"Dranken;Brasserie keuken;Tapas";"Frans;Mediterraans";"Glutenvrij;Veganistisch;Vegetarisch";;"Mediteranean comfort food and organic (and vegan!) wine
 Apero box 
 Dinner box 
 of à la carte";Ajuinlei 22;9000;Gent;;https://forms.gle/6TGw7JRmxYGA11fx6;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/49417e98415d7b9f086aade117644023;eva@laperodoc.be;472535323;;;;https://forms.gle/6TGw7JRmxYGA11fx6;https://stad.gent/sites/default/files/webform/horeca/7099/ambiance%3Asharing.JPG
LAGO rest-eau-café;"Dranken;Brasserie keuken;Kindvriendelijk";Belgisch;;;Even uitblazen na de sportieve inspanning? Genieten van een lekker diner met de hele familie? Of toch eerder op zoek naar een snelle lunch? Wij bieden het allemaal in een gezellig, familievriendelijk kader.;Victor Braeckmanlaan 180;9040;Sint-Amandsberg;09 335 28 88;https://www.lago.be/gent/eten-drinken;lago.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b282065c263501fc460f0b1c4b6e8bf8;rozebroeken@lago.be;;;;;https://www.lago.be/gent/eten-drinken;https://stad.gent/sites/default/files/webform/horeca/12676/54_LAGO_Rest-eau-caf%C3%A9_overzicht_1.JPG
Le Baan Thai;"Wereldkeuken;Noedels;Wok";Thais;;;Thaïse keuken.;Corduwanierstraat 57;9000;Gent;092332141;https://www.lebaanthai.be/nl/meenemen;LeBaanThai.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/89cc6772762004452bcdbfee6c5dd51d;;;;;;https://www.lebaanthai.be/nl/meenemen;https://stad.gent/sites/default/files/koop_lokaal/LeBaanThai.jpg
Lekker GEC;"Dranken;Brasserie keuken;Frietjes;Gezond;Lunch;Pasta;Kindvriendelijk";Belgisch;"Glutenvrij;Veganistisch;Vegetarisch";;Weeg-wat-je-eet: keuze uit een saladebuffet en warm buffet. Er is ook soep, pasta's, gebak, ijsjes... Alles is volledig vegan. Geniet van ons terras tussen de bloemetjes vlak tegenover station Gent Sint Pieters. Of kies een tafeltje binnen.;Kon. Maria Hendrikaplein 6;9000;Gent;09 242 87 50;http://www.lekkergec.be/;lekkergec.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2d00e2da8647d0276c6663fb0e89f859;welkom@lekkergec.be;;;;;http://www.lekkergec.be/;https://stad.gent/sites/default/files/webform/horeca/12622/28_Lekker%20GEC_overzicht1.JPG
Lust&Dust;"Dranken;Gastronomisch;Lunch;Tapas";"Belgisch;Frans";Vegetarisch;;"Lust & Dust
Catering/homecooking/events/take away.
Een gastronomische catering die werkt op maat.";Morekstraat 349;9032;Wondelgem;0499611947;www.lustendust.be;Lust&Dust.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/0205380f08afa9b9638e91c56b47c958;info@lustendust.be;0499611947;;;;www.lustendust.be;https://stad.gent/sites/default/files/webform/horeca/10912/84824514_1498463660304119_421857928400601088_n.jpg
Lys d’Or;"Gastronomisch;Zomerpas De Lijn;";Frans;;;Franse klassiekers gestoken in een nieuw jasje of volgens het klassieke recept.;Charles de Kerchovelaan 81;9000;Gent;094301130;https://lysdor.be/traiteur;LysD'or.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d8d95ec4987b41cd3881fb112e54a7d8;;;;;;https://lysdor.be/traiteur;https://stad.gent/sites/default/files/koop_lokaal/LysD'or.jpg
Ma&Ik;"Dranken;Gezond;Lunch;Pasta;Kindvriendelijk";Belgisch;;;Bij Ma & Ik serveren we een lekkere lunch met verse soep, rijkelijk belegde boterhammen, knapperige salades en onze pasta Ma & Ik (zelfgedraaide gehaktballen met een pittige tomatensaus). We verwennen je ook wekelijks met enkele suggesties.;Aannemersstraat 1A;9000;Gent;09 391 45 46;https://ma-en-ik.be/;maenik.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/135e0514f26cec4a5a4c194c0392a494;info@ma-en-ik.be;;;;;https://ma-en-ik.be/;https://stad.gent/sites/default/files/webform/horeca/12550/26.jpg
Mie Vie;"Gezond;Lunch";Belgisch;"Vegetarisch;Veganistisch";;Plantaardige en gezonde lunch zoals broodjes, slaatjes, wraps, paninis en toasts;Serpentstraat 28 3;9000;Gent;0499144664;https://www.mievie.be/webshop;MieVie.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/406108f2e58c08b408719b1d60477e7c;;;;;;https://www.mievie.be/webshop;https://stad.gent/sites/default/files/koop_lokaal/MieVie.jpeg
Mogador;Wereldkeuken;Marokkaans;;;Marokkaanse keuken: tajines, couscous, pastilla, vegetarisch, enz.;Mageleinstraat 8;9000;Gent;0486656389;https://www.takeaway.com/be/mogador-1;Mogador.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ffb9c8825b206ffea9065245f0f9e07d;;;;;;https://www.takeaway.com/be/mogador-1;https://stad.gent/sites/default/files/koop_lokaal/Mogador.jpg
Mokja;"BBQ en grill;Sushi;Wereldkeuken;Gezond";Koreaans;;;Koreaanse keuken;Wiedauwkaai 23J;9000;Gent;0485700331;https://www.mokja.be/;Mokja.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7a38b484fa27c85ebb7523b28d82f439;;;;;;https://www.mokja.be/;https://stad.gent/sites/default/files/koop_lokaal/Mokja.jpg
Mosquito Coast;"Dranken;Wereldkeuken;Tapas";"Belgisch;Grieks;Marokkaans;Midden-Oosters";;;Tapas, hoofdgerechten, dranken. Ook in grote porties om zelf op te warmen.;Hoogpoort 28;9000;Gent;092243720;https://www.mosquitocoast.be/;MosquitoCoast.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7119b2405caec175d029e277126a6ca5;;;;;;https://www.mosquitocoast.be/;https://stad.gent/sites/default/files/koop_lokaal/MosquitoCoast.jpg
Muziekcafé T Schoon Zicht;"Dranken;Kindvriendelijk";Belgisch;;;Muziekcafé 't Schoon Zicht is een gezellig bruin praat- en kunstcafé. Regelmatig optredens!;Trekweg 18;9030;Mariakerke;;https://www.facebook.com/schoonzicht/;tschoonzicht.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/86899f56f6520f70ba04afcf39368bdb;cafe.schoonzicht@gmail.com;;;;;https://www.facebook.com/schoonzicht/;https://stad.gent/sites/default/files/webform/horeca/12562/18_Muziekcaf%C3%A9%20%27t%20Schoon%20zicht_overzicht.JPG
Nenuphar;"Gastronomisch;Lunch;Tapas;Kindvriendelijk";"Belgisch;Frans;Spaans";;;Restaurant Nenuphar is een begrip in de Gentse gastronomie en is gelegen aan de oevers van de Leie in het idyllisch dorpje Afsnee op 10 minuten rijden van Gent centrum.;Afsneedorp 28;9051;Afsnee;09 221 22 32;https://www.restaurant-nenuphar.com/;nenuphar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7b2ff656d7abf0c2e4048e35324bd277;info@restaurant-nenuphar.be;;;;;https://www.restaurant-nenuphar.com/;https://stad.gent/sites/default/files/webform/horeca/12544/06_Nenuphar_overzicht.JPG
O'yo;"Lunch;Ontbijt en brunch;Kindvriendelijk";Belgisch;;;Ontbijt, brunch, lunch en koffie;Brabantdam 82;9000;Gent;0468121426;https://pickup.deliverect.com/oyobar/nl/order/;O'yo.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/83a87d7440b800e524bc3d68acea08e9;;;;;;https://pickup.deliverect.com/oyobar/nl/order/;https://stad.gent/sites/default/files/koop_lokaal/O'yo.jpg
Officina Raffaelli;"Pizza;Pasta";Italiaans;;;Authentieke Italiaanse gerechten: pizza, pasta, enz.;Dok Noord 4b/003/HAL 16;9000;Gent;0483108388;http://www.officinaraffaelli.be/;OfficinaRaffaelli.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d027ea415e21b34265bcb4048ab1ffb5;;;;;;http://www.officinaraffaelli.be/;https://stad.gent/sites/default/files/koop_lokaal/OfficinaRaffaelli.jpg
Paul's Boutique Gent Station;"BBQ en grill;Brasserie keuken;Frietjes;Lunch";Belgisch;"Glutenvrij;Vegetarisch";;Wij zijn een sfeervolle zaak met heerlijke verse hamburgers. Deze worden dagelijks bereid met verse ingrediënten en huisgemaakte sauzen. Beste hamburgers van Gent volgens beoordelingen op Tripadvisor (#12 van 754 restaurants in Gent);Koningin Astridlaan 209;9000;Gent;093350947;https://www.paulsboutiquegent.be/take-away-delivery/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/70b3b89afbf6f2e249bc5a741acfbfba;wsanders@paulsboutiquegent.be;475328832;;;;https://www.paulsboutiquegent.be/take-away-delivery/;https://stad.gent/sites/default/files/webform/horeca/7228/Joyn_cover_2000.jpg
Per Bacco;Wereldkeuken;Italiaans;;;Italiaans op zijn best;Sint-Jacobsnieuwstraat 56;9000;Gent;093248332;https://www.perbacco.be/;PerBacco.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/cec0b45039a6af01ad9028526f2e91ed;;;;;;https://www.perbacco.be/;https://stad.gent/sites/default/files/koop_lokaal/PerBacco.jpg
