Naam;Image URL;Aanbod;tekstveld (250 karakters);Hoe kan je winkelen;Adres;Postcode;Gemeente;Telefoonnummer;Link;E-mail;Column 12;Column 13;Cityzine;Column 15;Omschrijving;Link;image_path
Tartelief;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/bcc2501e858c22172057bb58120d9c00;Dranken en voeding;"Laat je verrassen met onze ""Taart van de Maand"". Je kan ook kiezen uit ons Vast Assortiment.
Wil je een ""Taart op Maat"" waarmee je kan uitpakken ...

Bij ons ben je op het juiste adres.";;Ossenstraat 84;9000;Gent;;https://www.tartelief.be;Lievedr@gmail.com;0473 42 32 12;;;;;https://www.tartelief.be;https://stad.gent/sites/default/files/webform/winkels/9804/20201128140052_IMG_5680.jpg
TiaTia;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d8c16534f1d77ef5d4747f697dc9fe1c;"Kinderen;Kleding";TiaTia is een no-nonsense, online kinderboetiek. We gaan bewust op zoek naar nieuwe merkjes, naar kleine ontwerpers en start-ups. We gaan steevast voor kleding dat tegen een stootje kan, dat kwalitatief én avontuurlijk is.;;Galgalaan 29;9000;Gent;;https://www.tiatia.be/;info@tiatia.be;494844684;;;;;https://www.tiatia.be/;https://communicatie-digitaal.gent.be/kooplokaal/TiaTia.JPG
Traiteur Toulouse;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/8872b467cf88083d7e1193a79db052bf;Koken en tafelen;Elke dag verwennen wij u graag met een variatie van heerlijke versgemaakte dagschoteltjes, de typische Toulouse-salades en zoveel meer. Altijd origineel, vol van smaak, gezond en keuze uit vis, vlees én veggie!;;Kon. Elisabethlaan, 41;9000;Gent;0497852710;http://www.traiteurtoulouse.be;info@traiteurtoulouse.be;09 242 02 49;;;;;http://www.traiteurtoulouse.be;https://stad.gent/sites/default/files/webform/winkels/7142/Cover.jpg
Triado Pen & Papier;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b63edf9bd04b4d33235f36433e141aa6;Accessoires;"""Voor een mooie vulpen , een balpen , agenda of een notitieboekje kan je bij Triado terecht. Alsook een groot gamma papier- & kantoorartikelen, stempels , kleine lederwaren en geschenkartikelen. Voor ieders budget !
Reeds 60 jaar tot uw dienst !""";;Sint-Jacobsnieuwstraat 13;9000;Gent;092240086;http://www.triado.shop;;09 224 00 86;;;;;http://www.triado.shop;https://stad.gent/sites/default/files/webform/winkels/6728/etalage%20feb%202020.jpg
Tuinmachines Heye-Cornelis;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/cc68a7d78cae0df83cc55e23517cfca9;Hobby en DIY;Bij Heye-Cornelis vind je tuinmachines groot en klein binnen ieders budget en verwachtingen. De Kwaliteitsmerken (Husqvarna, Honda & Eliet) bieden een oplossing voor elke klus in tuin, park en bos.;;Raapstraat 27;9031;Drongen;092279892;http://www.heye-cornelis.be;info@heye-cornelis.be;092279892;;;;;http://www.heye-cornelis.be;https://stad.gent/sites/default/files/webform/winkels/6879/joj.jpg
Twiggy;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/50e96a2679cb4342a1addafb4f6771f0;"Accessoires;Juwelen;Kleding";;;Notarisstraat 3;9000;Gent;092239566;https://www.twiggy.be/;for.you@twiggy.be;92239566;;;;;https://www.twiggy.be/;https://stad.gent/sites/default/files/webform/winkels/7036/achtergevel_twiggy.jpg
Umber & Smoke;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/dea4ee1638df814cd4717a8a0c016bb1;"Accessoires;Koken en tafelen;Wonen";Originele en betaalbare meubelen en decoratie voor een gezellig interieur.;;Dampoortstraat 91;9000;Gent;093293433;http://www.umberandsmoke.com;info@umberandsmoke.com;478631983;;;;;http://www.umberandsmoke.com;https://stad.gent/sites/default/files/webform/winkels/7029/3.jpg
Villa Bellevue;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ac00ffa1683e14516d72a9f6a8c1593a;Accessoires;Brillenboetiek in hartje Gent met focus op de bril als kunstzinnig object. Geen eenheidsworst met hip strikje er rond maar stevige cocktail van bohemian chic met industrial vintage. Geestverruimende blikopeners voor avontuurlijke meerwaardezoekers.;;Bennesteeg 12;9000;Gent;0475/643163;https://www.villabellevue-eyewearboutique.be;;;;;;;https://www.villabellevue-eyewearboutique.be;https://stad.gent/sites/default/files/webform/winkels/8973/_MG_9535.jpg
Vlask Gallery;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/1044602be71b9d5d21898189c2099863;Wonen;Wie Vlask Gallery binnenstapt waant zich in een wonderbaarlijke tuin van kleuren en vormen. Men kan er kennis maken met werken van kunstenaars die hier zelden of nooit aan bod komen ondanks de hoge kwaliteit en vindingrijkheid van hun oeuvre.;;Vlaskmarkt 1;9000;Gent;0476/666.535;https://https://www.vlask.be;info@vlask.be;0476/666.535;;;;;https://https://www.vlask.be;https://stad.gent/sites/default/files/webform/winkels/9138/34337235_394588271021328_1052231077298438144_o.jpg
Wijnhandel Van den bussche;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/e7fd76642033988cceaa9fdff309a5ed;Dranken en voeding;"Wijnhandel Van den bussche bestaat sinds 1870 en we kunnen terugblikken op vijf generaties ervaring. Wij zorgen altijd voor een uitstekende service en bieden u uitsluitend kwaliteitsvolle wijnen en sterke dranken aan. 
Service is onze grootste troef.";;Vlaanderenstraat 110;9000;Gent;092250036;http://www.vandenbussche-wines.be;;;;;;;http://www.vandenbussche-wines.be;https://stad.gent/sites/default/files/webform/winkels/6694/IMG_0004_0.jpg
Wolwolf;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/cb98ece8d46d29820806745ac80c1954;Hobby en DIY;Wolwinkel met brei- en haakgarens, breinaalden, haaknaalden, breiboeken, haakboeken, magazines....;;Mispelbilk 30;9030;Mariakerke;092276518;https://www.wolwolf.be;info@wolwolf.be;092276518;;;;;https://www.wolwolf.be;https://stad.gent/sites/default/files/webform/winkels/11516/Belettering.jpg
Yak&Yeti - Men and women;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/2ca9199588147b5bc1452da81c0784ca;"Accessoires;Juwelen;Kinderen;Kleding";Yak&Yeti is een unieke Fair Trade winkel met een eigen productieatelier in Kathmandu, Nepal. We ontwerpen, produceren en verkopen stijlvolle, duurzame Fair Trade kledij en accessoires uit biologische materialen. Collecties voor dames, heren en kids.;;Mageleinstraat 13;9000;Gent;09 324 51 75;https://https://fairlytradedclothing.com/nl/;shrestha.bharat@hotmail.com;0485921359;;;;;https://https://fairlytradedclothing.com/nl/;https://stad.gent/sites/default/files/webform/winkels/10927/IMG_20210428_102910%5B1%5D.jpg
Yoga on Call;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/246f2a503c5fe3438b4a77dba2a2c287;Sport;Yoga on Call is een laagdrempelige yogastudio in hartje Gent. Binnen ons ruime aanbod vind je altijd wel een yogastijl en lesmoment die bij je passen!;;Oudescheldestraat 16;9000;Gent;;https://http://www.yoga-on-call.be/;;;;;;;https://http://www.yoga-on-call.be/;https://stad.gent/sites/default/files/webform/winkels/8471/20160816-100704-yogaoncall-IneDehandschutter.jpg
2Compute;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/48d3e3fa07dc0bf266d8651697883351;"Elektronica;Hobby en DIY";"Op www.2Compute.net Online kunnen professionelen online bestellen.
Onze specialiteit: Laptops, alles voor uw computer en randapparatuur, printers en inkten...
 Wij geven steeds advies op maat.
 Alle merkartikelen: Lenovo, HP, Fujitsu, Toshiba, Acer, ...";;Schooldreef 75;9050;Gentbrugge;092321073;https://www.2compute.net/;info@2Compute.be;09 232 10 73;;;;;https://www.2compute.net/;https://communicatie-digitaal.gent.be/kooplokaal/2compute.jpg
2MMotors;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/8b95f840bc0ce0259170b307df1aa4a5;"Accessoires;Fietsen en auto's";"Onze diensten variëren van herstel en onderhoud van alle merken, met specialisatie Suzuki, tot een ruime keus in occasies, zowel jonge, kilometerarme als starters wagens in originele staat.

Wij zijn gelegen aan de Brugsevaart 20.";;Brugsevaart 20;9030;Mariakerke;092263705;https://www.2mmotors.be;garage2mmotors@gmail.com;92263705;;;;;https://www.2mmotors.be;https://stad.gent/sites/default/files/webform/winkels/10822/20210325_141251.jpg
7 For All Mankind;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/1a864e7ec298a9abd25ec5196bedbf42;"Accessoires;Kleding";Wij zijn een boetiek die exclusief de kledij van 7 for All Mankind verkoopt. Bij ons kan u terecht voor luxury denim broeken.;;Brabantdam 11;9000;Gent;09 336 37 07;https://www.bikai.be/merk/7-for-all-mankind/;benoit@bikai.be;477684761;;ja;;;https://www.bikai.be/merk/7-for-all-mankind/;https://stad.gent/sites/default/files/webform/winkels/7178/29468580_2097208960568282_8605391784161312768_o.jpg
A’pril;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/eb4f0607094d24a7fac50e88faa983e1;"Accessoires;Juwelen;Wonen";"Hier ben je even zoet, want in het ruimte aanbod valt veel te ‘snuisteren’.
Verschillende notitieboekjes, sieraden, andere kleurrijke spulletjes, eigenzinnige verjaardagskaarten...
dit is dé plek om een origineel cadeau te vinden.";;Burgstraat 27;9000;Gent;09 223 09 92;https://https://www.facebook.com/april.gent/;a.pril@skynet.be;0495 59 23 52;;;;;https://https://www.facebook.com/april.gent/;https://stad.gent/sites/default/files/webform/winkels/9787/A%27pril_0.jpg
Aap . noot . mies;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d52aedc6a62ac5bfd8e3002103d8e64f;"Kinderen;Schoenen";"Origineel kinderschoenwinkeltje in het centrum van Gent.
We verkopen enkel schoentjes die gemaakt zijn in Europa of ecologisch verantwoord zijn.
Hippe, leuke schoentjes van maatje 18 tem 40.";;Mageleinstraat 48;9000;Gent;092240600;http://www.aapnootmies.be;;;;;;;http://www.aapnootmies.be;https://communicatie-digitaal.gent.be/kooplokaal/aap-noot-mies.jpg
Amfore Bloembinderij;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/d0655d8ae6d2529d958b6a323a760c90;"Accessoires;Juwelen;Planten en bloemen;Wonen";"Amfore is geen traditionele bloembinderij meer maar eerder een ""sfeerwinkel"" waar beleving centraal staat : droogbloemen, verse bloemen, planten en decoratie, voor elke gelegenheid een passend geschenk ! Van harte welkom.";;Brusselsesteenweg 557;9050;Gentbrugge;092321872;http://www.amfore.be;info@amfore.be;491720699;;;;;http://www.amfore.be;https://stad.gent/sites/default/files/webform/winkels/11830/196078264_5546640612072898_4877241294600774634_n.jpg
ANKR.;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/af6f855d3ed6d7ee03cede57e6638f01;"Accessoires;Juwelen;Kleding;Schoenen;Wonen";ANKR. is een Scandinavisch geïnspireerde concept store in Gent. Je vindt er naast betaalbare Deense kledingmerken voor hem en haar ook interieurspulletjes, gadgets, cadeautjes en zelfs kleine meubeltjes. En dat alles in een huiselijk kader.;;Nederkouter, 109;9000;Gent;0472640102;http://www.ankr.gent;;;;;;;http://www.ankr.gent;https://stad.gent/sites/default/files/webform/winkels/6757/FB_IMG_1604132629059.jpg
Apotheek Bonamie;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/af775904eca95b8e143b089e9db144b4;Beauty;Cosmetica, OTC, medicijnen op voorschrift.;;Normaalschoolstraat 9;9000;Gent;092222589;https://Apotheek.be;nathaliebinamie@belgacom.net;92222589;;;;;https://Apotheek.be;https://stad.gent/sites/default/files/webform/winkels/9082/image.jpg
Apotheek De Loof;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ab5573e78297e9463a482b886aab801a;Beauty;"Onafhankelijke apotheek vlakbij het UZ Gent. Uitgebreid persoonlijk advies op maat en gezondheidszorg aan een correcte prijs vormen de pijlers van onze visie. Ons motto ""gelukkig gezond""vat perfect samen waar we dag na dag voor gaan!";;Zwijnaardsesteenweg 718;9000;Gent;092224203;https://farmaweb.be/;bart@farmaweb.be;476232460;;;;;https://farmaweb.be/;https://stad.gent/sites/default/files/webform/winkels/7203/filmstripteamv2.jpg
Apotheek Gent Sint-Pieters;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/af577dd0fd30055631cf016030dc0563;Beauty;Apotheek en drogisterij.;;Kortrijksesteenweg 351;9000;Gent;09/2201421-0473/180611;https://shop.apotheekgentsintpieters.be/;info@apotheekgentsintpieters.be;09 220 14 21;;ja;;;https://shop.apotheekgentsintpieters.be/;https://communicatie-digitaal.gent.be/kooplokaal/apotheek-gentsintpieters.jpg
Atelier Angéline Catteeuw;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/0b9566204c838c4ea352dbeb67d8e4f4;Wonen;Ontdek schilderijen en sculpturen door Angéline Catteeuw (wonend en werkend te Gent). De werken zijn online te koop, of na bezichtiging in het atelier. Enkel op afspraak!;;Jos Verdegemstraat 42;9040;Sint-Amandsberg;0477282127;https://www.angelinecatteeuw.com;;;;;;;https://www.angelinecatteeuw.com;https://stad.gent/sites/default/files/webform/winkels/8438/IMG_3890.jpg
Atelier Peeps;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/7ffb99afc629f90801dfc216bb48c699;Hobby en DIY;"Atelier Peeps is een creatief atelier voor jong en oud. Er worden heel wat leuke creatieve workshops georganiseerd.

Je kan hier ook terecht voor alle de mooiste stoffen en naaibenodigdheden.";;Lusthoflaan 35;9030;Mariakerke;;https://www.peeps.be;annelies.muysewinkel@gmail.com;486951457;;;;;https://www.peeps.be;https://stad.gent/sites/default/files/webform/winkels/9641/IMG_20210310_095618134.jpg
Atlas & Zanzibar;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/9bce61accd47d270740d1d05ea5417c2;"Boeken;Hobby en DIY;Sport";Speciaalzaak met een rijk aanbod aan reisgidsen, kaarten, fotoboeken, atlassen, wereldbollen, reisliteratuur en accessoires. Wij hebben gidsen en kaarten voor wandelaars, fietsers, klimmers, citytrippers en globetrotters.;;Kortrijksesteenweg, 19;9000;Gent;092208799;https://www.atlaszanzibar.be;frank@atlaszanzibar.be;0488/16.08.18;;;;;https://www.atlaszanzibar.be;https://stad.gent/sites/default/files/webform/winkels/7940/20201130_124809%20%281%29.jpg
Bakker Klaas - Brood- en koffiebar;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/16187a5d60fab574cc5934e05d8877fe;Dranken en voeding;"Traditioneel desembrood met een stevig kruim, een rijke smaak en een krokante korst. Ook verse koffie en gebak vind je bij ons.
 
 We kiezen voor ingrediënten van biologische en lokale oorsprong. Fairtrade vinden we ook top.";;Baudelostraat 3;9000;Gent;0477043895;https://www.bakkerklaas.be/;info@bakkerklaas.be;477043895;;;;;https://www.bakkerklaas.be/;https://stad.gent/sites/default/files/webform/winkels/6853/498A7130_Hogeres_bis_cmyk.jpg
Beautiful;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/06a9071338de4d20c2a5daed60b3d80c;"Accessoires;Beauty;Juwelen;Kleding;Schoenen";Verwen jezelf met professionele beauty behandelingen en producten en shop de coolste accessoires bij Beautfiul Fashion & Beauty te Drongen;;Halewijnkouter 2;9031;Drongen;092273998;https://www.rsbeautiful-webshop.be/;info@rsbeautiful.be;92273998;;;;;https://www.rsbeautiful-webshop.be/;https://stad.gent/sites/default/files/webform/winkels/7254/rsz_3beautiful-fashion%26beauty-winkel-rsbeautiful.jpg
Bell Fix;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/e5ac67ba4247a34f6f3afbdf86e6ec1e;Elektronica;Professionele hersteldienst van alle smartphones en tabletten. Naast iPhone repareren wij ook Samsung, Huawei, Sony, Oneplus, Motorola, Xaomi, HTC, LG en Microsoft. Het gebruik van kwaliteitsproducten staat centraal in onze bedrijfsvoering.;;Ketelpoort 2;9000;Gent;0487204154;https://www.bellfix.be;info@bellfix.be;487204154;;;;;https://www.bellfix.be;https://stad.gent/sites/default/files/webform/winkels/9076/98145379_3092808904119111_7654598535790198784_n.jpg
Bloemen en Planten Acacia;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/dbf0f9f3e19668b2a7f88161c2ae6224;Planten en bloemen;Bloemen en Planten Acacia is al 32 jaar een begrip als het gaat om kwaliteit, betrouwbaarheid, service en vakkundigheid. We zijn er voor iedere denkbare service als het gaat om bloemen en planten.;;Emanuel Hielstraat 16;9050;Gentbrugge;092303866;bloemenacacia.be;acacia.gent@telenet.be;092303866;;;;;bloemenacacia.be;https://stad.gent/sites/default/files/webform/winkels/10993/acacia_winkel.jpg
Bloemenzaak Peter Persoon;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/341fa0fe0cab8e074cb451984ba510bb;Planten en bloemen;"Bloemenzaak Peter Persoon is een gevestigde waarde in Oostakker sedert 1987, met nog steeds de passie van weleer.
De zaak staat garant voor dagverse bloemen en planten(combinaties).
Voor huwelijken en overlijdens kan je steeds bij ons terecht.";;Gentstraat 288;9041;Oostakker;092512946;http://peterpersoon.be;;;;;;;http://peterpersoon.be;https://stad.gent/sites/default/files/webform/winkels/6695/IMG_2018_0.JPG
Blommm;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/5d4dba441a06e68660e55e43632cc690;"Accessoires;Boeken;Juwelen;Planten en bloemen;Wonen";Met Blommm kies je voor 100% biologisch & lokaal winterschoon in koude maanden. Blommm droogde de mooiste bloemen en grassen zodat je ook na het bloemenseizoen kan genieten van een stukje natuur in huis. Een droogboeket, winterkrans, of pronkstukje.;;Waaistraat 4;9000;Gent;093366080;http://www.blommm.be;;;;;;;http://www.blommm.be;https://stad.gent/sites/default/files/webform/winkels/6714/WhatsApp%20Image%202020-10-30%20at%2012.28.31%20%286%29.jpg
Bollebuik;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/0a82286ef5907aa31c155c57f6f489f7;"Kinderen;Speelgoed";Bij Bollebuik hebben we een hart voor kinderen, een zwak voor design en een oog voor duurzaamheid. Je vindt bij ons de mooiste kinderkleding, de leukste cadeautjes en hebbedingetjes en je volledige baby-uitzet van A tot Z.;;Maurice Claeysplein 7;9030;Mariakerke;;https://www.bollebuik.shop;;;;;;;https://www.bollebuik.shop;https://stad.gent/sites/default/files/webform/winkels/8951/Winkelinrichting-Fashion-Bolle%20Buik%20008_0.jpg
Bookz&Booze;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/0d91e0c27d7d0317084cf12aeb04d8dc;"Boeken;Dranken en voeding;Muziek, film en games";"Vertel me wat je graag leest, graag drinkt, maar vooral: wie je bent, wat je graag doet, wat je passioneert.
Op basis daarvan maak ik de perfecte combinatie van een geweldig boek en bijhorende drank.";;Hoogpoort 35;9000;Gent;0475520025;http://www.bookznbooze.be;;;;;;;http://www.bookznbooze.be;https://stad.gent/sites/default/files/webform/winkels/6760/Bookz%20and%20Booze_0732.jpg
Brandstof VOF;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/4c72f9132908b822a976f53c75889d93;Dranken en voeding;"Brouwers van NAFT bier.

Gents, stoer, volmoutig.
Een toegankelijk craft bier, Belgisch, goudblond en van hoge gisting. Moutige smaak met bittere hoptoetsen en strepen van kamille en koriander.
Tank je motor nog eens vol met dit heerlijke bier!";;Bromeliastraat 81;9040;Gent;0485104922;https://https://naft.beer/;brecht@naftbeer.be;485104922;;;;;https://https://naft.beer/;https://stad.gent/sites/default/files/webform/winkels/9065/NAFT.PNG
Brood en banket Depredomme;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/b6ae3b0318f829f861db669d078dad1b;Dranken en voeding;"Wij zijn een artisanale warme bakkerij en bieden u een ruim assortiment lekker brood, koffiekoeken, pistolets , gebak, chocolade, confiserie en belegde broodjes aan.
 Open op Ma, Vrij, Zat en Zon";;Sportstraat 229;9000;Gent;092224621;https://www.facebook.com/Depredomme-bakkerij-198703586813889;bakkerijdepredomme@gmail.com;475222850;;;;;https://www.facebook.com/Depredomme-bakkerij-198703586813889;https://stad.gent/sites/default/files/webform/winkels/6801/IMG_E4718.jpg
Burkelbloem;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/6eb5dfc8e18af3f89c717a2ac1671afb;"Accessoires;Koken en tafelen;Speelgoed;Wonen;";Bij Burkelbloem kan je oneindig rondsnuisteren! Wij nemen je mee op een nostalgische reis naar het verleden. Denk aan allerlei Boch en ander vintageservies, glazen, retro kerstdecoratie, oud speelgoed, vintage postkaarten...Een ware grot van Alibaba!;;Dampoortstraat 92;9000;Gent;0484967953;http://www.facebook.com/Burkelbloem;;;;;;;http://www.facebook.com/Burkelbloem;https://stad.gent/sites/default/files/webform/winkels/6730/IMG-20201111-WA0007.jpg
Cecilia Jaime Gallery;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/f2d1c6ea757c4a002f943a8d5decbe69;Wonen;"Cecilia Jaime Gallery promoot jonge en gevestigde professionele kunstenaars. In de volledig vernieuwde galerie, in de historische wijk Patershol, kan men terecht voor kunst, design en architectuur. 
 
 Volg ons in Instagram en FB!";;Kraanlei 55;9000;Gent;0476645557;https://www.ceciliajaime.com/nieuws.html;info@ceciliajaime.com;476645557;;;;;https://www.ceciliajaime.com/nieuws.html;https://stad.gent/sites/default/files/webform/winkels/6986/CECILIA%20JAIME%20GALLERY.jpg
Chambelland;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/040f048087bf26045c5e9d045cdb1516;"Dranken en voeding;Koken en tafelen";"Chambelland bakkerij - patisserie
Bio en van nature glutenvrij.
Voor ontbijt, lunch en vieruurtje.
Dit alles in een prachtig, geklasseerd herenhuis met een magnifieke zaal waar je volledig tot rust kan komen.";;François Laurentplein 4;9000;Gent;09/220.99.22;https://www.chambelland.com;nina.segers16@gmail.com;0477/53.13.81;;;;;https://www.chambelland.com;https://communicatie-digitaal.gent.be/kooplokaal/Chambelland.jpeg
Charmy;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/4e26e7d974c2c0d1defe1bdf60870ffc;Kleding;Klasse volle damescollecties, alles in maat 38 tot 52 - een persoonlijke service en gratis retouches !;;Mageleinstraat 9;9000;Gent;092231045;http://charmy-gent.be;;;;;;;http://charmy-gent.be;https://stad.gent/sites/default/files/webform/winkels/6747/20181007%20Weekend%20van%20de%20Klant%20Gent-foto%20Luk%20Collet-2723.jpg
Chocolaterie Van Hoorebeke;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/bdd853a631943641c2e3e0445dec1286;Dranken en voeding;Chocolatier Van Hoorebeke is een familiebedrijf sedert 1982. Onze missie is het verwerken van duurzame chocolade tot eindproducten zoals pralines, chocolade tabletten, chocolade figuren etc. Pure ambacht te Gent centrum.;;Sint-Baafsplein 15;9000;Gent;0494863650;http://www.chocolatesvanhoorebeke.be;info@chocolatesvanhoorebeke.be;494863650;;;;;http://www.chocolatesvanhoorebeke.be;https://stad.gent/sites/default/files/webform/winkels/9175/Lennen%20Descamps%20003.jpg
Chocolaterie Vandenbouhede;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/fe571579da222d6ba2a8ae08ac88d3dc;Dranken en voeding;"Naast de klassieke pralines bieden we ook meer gewaagde smaakcombinaties aan zoals praline met Gandaham, rode biet, mango en chili
Het hele jaar door holgoedfiguren en huisgemaakte bokkepootjes en speculaas.
Je ziet ons werken in ons kelderatelier.";;Mageleinstraat 46;9000;Gent;092221781;https://www.chocolaterie-vandenbouhede.be;chocolaterie.vandenbouhede@gmail.com;092221781;;;;;https://www.chocolaterie-vandenbouhede.be;https://stad.gent/sites/default/files/webform/winkels/11561/1A25212B-5A49-4137-9C00-FD86725693B0.JPG
Chocolatier Deduytschaever;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/cc7534f125fca6b9d09c85c1081df37e;Koken en tafelen;"Chocolatier Deduytschaever is een artisanale chocolaterie en werd middenin de coronacrisis geopend. 
 We bieden enkel huisgemaakte producten aan en streven ernaar om met producten van de beste kwaliteit te werken.";;Mageleinstraat 2;9000;Gent;09 311 50 10;https://www.deduytschaever.be/;info@deduytschaever.be;93115010;;;;;https://www.deduytschaever.be/;https://stad.gent/sites/default/files/webform/winkels/7130/2020-11-24%2018_31_47-Chocolatier%20Deduytschaever%20-%20Foto%27s.png
Chocolou;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/347a089a544d75cb61feff0fa671453b;Dranken en voeding;Chocolou staat voor kwaliteitsvolle artisanale chocolade en pralines van Topchocolatier Dumon.Wij hebben tevens een assortiment duurzaam speelgoed van Plan Toys Leveringen gratis in een straal van 30 km rond Gent Hopelijk tot binnenkort;;Donkersteeg, 25;9000;Gent;0475751008;https://www.chocolou.be/;chocolou@outlook.be;475751008;;ja;;;https://www.chocolou.be/;https://communicatie-digitaal.gent.be/kooplokaal/chocolou.jpeg
Collin;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/0bd8c00c47fbad5e254808596c72107a;Dranken en voeding;Bij Collin-Gent en Collin-Oudenaarde staat voor u een team klaar dat niet alleen wijn wil 'verkopen', maar u ook wil laten delen in hun ervaring en liefde voor de wijn. Jaar na jaar selecteren wij voor u de beste wijnen, champagnes en andere dranken.;;Kalandeberg 5;9000;Gent;09 225 01 20;https://www.collin.be;info@collin.be;09/225 01 20;;;;;https://www.collin.be;https://stad.gent/sites/default/files/webform/winkels/9072/IMG_9333.jpg
Cyclingsports;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/4e9707f5aa0926134961f3090c0c3061;"Accessoires;Hobby en DIY;Sport;Fiets en auto";"Wij zijn the place to be als het om fietsen draait.
Bij ons vind je de fiets van je dromen. Zowel elektrische fietsen , racefietsen, mountainbikes enz.....
We verdelen de merken Norta, Granville, Merida,... en doen verkoop-onderhoud-herstellingen.";;Deinsesteenweg, 24;9031;Gent;092795311;http://www.cyclingsports.be;cyclingsports.info@gmail.com;92795311;;;;;http://www.cyclingsports.be;https://stad.gent/sites/default/files/webform/winkels/6866/IMG_6959.jpg
Day.;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/ebcbf91d15556b1b3b5e446fc5839c13;"Accessoires;Kleding";"HOTSPOT WAAR FASHIONISTA'S THUIS ZIJN!
 Kledij voor elke gelegenheid of sfeer, én net dat tikkeltje unieker. Céline helpt je graag bij het selecteren van de stuks die jou helemaal doen stralen. Of kies voor private shopping!";;Henegouwenstraat 8;9000;Gent;0474806386;https://day-gent.com/;info@day-gent.com;474806386;;;;;https://day-gent.com/;https://stad.gent/sites/default/files/webform/winkels/6840/106228282_710678933062330_8544413492290687408_o.jpg
De Blinde reiziger;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-winkels/files/618d9a350b90e9b6affaf4a88d2a0483;Boeken;Antiquariaat, gespecialiseerd in kunstboeken en zeldzame uitgaven. Klein assortiment grafiek en affiches.;;Burgstraat 45;9000;Gent;09 3240980;http://www.theblindtraveler.com/;info@theblindtraveler.com;0495 211484;;;;;http://www.theblindtraveler.com/;https://communicatie-digitaal.gent.be/kooplokaal/DeBlindeReiziger.jpg
